scenario,whale_cutoff,n_control,n_test,whales_control,whales_test,whale_rpu_control,whale_rpu_test,whale_rpu_rel_diff_pct
mobile,1000.8700,6070,5961,22,23,10.7259,14.4150,34.3941
all_devices,871.4600,8913,8577,35,39,9.8524,15.1657,53.9281
