cohort,model,threshold,auc_roc,accuracy,precision_non_payer,recall_non_payer,f1_non_payer,precision_payer,recall_payer,f1_payer,n_test,n_test_payers
all,logistic_regression,0.5,0.749191229787083,0.6940893367423673,0.9893992932862191,0.6928549334982987,0.8149899945424777,0.06364922206506365,0.7377049180327869,0.1171875,6649,183
all,random_forest,0.5,0.7476243959576703,0.7348473454654836,0.9875596102011196,0.7366223321991958,0.8438302772610505,0.06736035049288061,0.6721311475409836,0.12244897959183673,6649,183
all,xgboost,0.5,0.7393617560708473,0.7512407880884343,0.9864536999595633,0.754562326012991,0.8550648440238345,0.06811509101585438,0.6338797814207651,0.12301166489925769,6649,183
mobile,logistic_regression,0.5,0.772204941001054,0.7187993680884676,0.9910603426868637,0.7181932697498651,0.8328464106844741,0.06227544910179641,0.7428571428571429,0.11491712707182321,5697,140
mobile,random_forest,0.5,0.7750668397645183,0.7493417588204319,0.9909631391200951,0.7498650350908763,0.8537185003073141,0.06836461126005362,0.7285714285714285,0.125,5697,140
mobile,xgboost,0.5,0.7642959973264094,0.7382833070036862,0.9903521466473709,0.7388878891488213,0.8463361846851489,0.06447453255963895,0.7142857142857143,0.11827321111768184,5697,140
