cohort,model,threshold,auc_roc,accuracy,precision_non_payer,recall_non_payer,f1_non_payer,precision_payer,recall_payer,f1_payer,n_test,n_test_payers
all,logistic_regression,0.5,0.749191229787083,0.6940893367423673,0.9893992932862191,0.6928549334982987,0.8149899945424777,0.06364922206506365,0.7377049180327869,0.1171875,6649,183
all,random_forest,0.5,0.7476243959576703,0.7348473454654836,0.9875596102011196,0.7366223321991958,0.8438302772610505,0.06736035049288061,0.6721311475409836,0.12244897959183673,6649,183
all,xgboost,0.5,0.7393617560708473,0.7512407880884343,0.9864536999595633,0.754562326012991,0.8550648440238345,0.06811509101585438,0.6338797814207651,0.12301166489925769,6649,183
