brand_id;product_id;brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type
4;16;Four Sigmatic;Balance Half Caf Ground Coffee - Medium;ground;;13;;16;20;1.23;;own_site;https://us.foursigmatic.com/products/balance-half-caf-ground-coffee-bag;20.05.2026;single
4;16;Four Sigmatic;Balance Half Caf Ground Coffee - Medium;ground;;26;;32;20;1.23;;own_site;https://us.foursigmatic.com/products/balance-half-caf-ground-coffee-bag;20.05.2026;single
4;16;Four Sigmatic;Balance Half Caf Ground Coffee - Medium;ground;;52;;64;20;1.23;;own_site;https://us.foursigmatic.com/products/balance-half-caf-ground-coffee-bag;20.05.2026;single
4;16;Four Sigmatic;Balance Half Caf Ground Coffee - Medium;ground;;0;340.2;18.78;0;;adaptogen;amazon;https://www.amazon.com/dp/B081R15GB2;25.05.2026;single
4;16;Four Sigmatic;Balance Half Caf Ground Coffee - Medium;ground;;0;340.2;18.78;0;;adaptogen;amazon;https://www.amazon.com/dp/B081R15GB2;25.05.2026;subscription
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;30;;17.5;50;0.5833;;own_site;https://us.foursigmatic.com/products/focus-instant-coffee-multiserve;20.05.2026;subscription
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;60;;35;50;0.5833;;own_site;https://us.foursigmatic.com/products/focus-instant-coffee-multiserve;20.05.2026;subscription
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;120;;70;50;0.5833;;own_site;https://us.foursigmatic.com/products/focus-instant-coffee-multiserve;20.05.2026;subscription
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;30;;28;20;0.9333;;own_site;https://us.foursigmatic.com/products/focus-instant-coffee-multiserve;20.05.2026;single
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;60;;56;20;0.9333;;own_site;https://us.foursigmatic.com/products/focus-instant-coffee-multiserve;20.05.2026;single
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;120;;112;20;0.9333;;own_site;https://us.foursigmatic.com/products/focus-instant-coffee-multiserve;20.05.2026;single
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;30;75.1;36.29;0;1.2097;lion's mane;amazon;https://www.amazon.com/dp/B0B3YYDP6V;25.05.2026;single
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;30;75.1;34.48;5;1.1493;lion's mane;amazon;https://www.amazon.com/dp/B0B3YYDP6V;25.05.2026;subscription
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;30;1701;21.81;0;0.727;lion's mane;amazon;https://www.amazon.com/dp/B08JSS48Z7;25.05.2026;single
4;17;Four Sigmatic;Focus Instant Coffee Multiserve;instant;;30;1701;21.81;0;0.727;lion's mane;amazon;https://www.amazon.com/dp/B08JSS48Z7;25.05.2026;subscription
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;24;;18;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-coffee-pods-box;20.05.2026;subscription
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;48;;36;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-coffee-pods-box;20.05.2026;subscription
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;96;;72;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-coffee-pods-box;20.05.2026;subscription
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;24;;28.8;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-coffee-pods-box;20.05.2026;single
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;48;;57.6;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-coffee-pods-box;20.05.2026;single
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;96;;115.2;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-coffee-pods-box;20.05.2026;single
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;24;;36;0;1.5;lion's mane;amazon;https://www.amazon.com/dp/B0883VBNHC;25.05.2026;single
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;24;;34.2;5;1.425;lion's mane;amazon;https://www.amazon.com/dp/B0883VBNHC;25.05.2026;subscription
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;24;;36;0;1.5;chaga;amazon;https://www.amazon.com/dp/B08L45MMQQ;25.05.2026;single
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;24;;34.2;5;1.425;chaga;amazon;https://www.amazon.com/dp/B08L45MMQQ;25.05.2026;subscription
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;48;;72;0;1.5;lion's mane;amazon;https://www.amazon.com/dp/B0BV7C9FJK;25.05.2026;single
4;18;Four Sigmatic;Focus Coffee Pods (24ct);pods;;48;;68.4;5;1.425;lion's mane;amazon;https://www.amazon.com/dp/B0BV7C9FJK;25.05.2026;subscription
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;24;;18;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-high-caf-coffee-pods;20.05.2026;subscription
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;48;;36;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-high-caf-coffee-pods;20.05.2026;subscription
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;96;;72;50;0.75;;own_site;https://us.foursigmatic.com/products/focus-high-caf-coffee-pods;20.05.2026;subscription
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;24;;28.8;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-high-caf-coffee-pods;20.05.2026;single
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;48;;57.6;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-high-caf-coffee-pods;20.05.2026;single
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;96;;115.2;20;1.2;;own_site;https://us.foursigmatic.com/products/focus-high-caf-coffee-pods;20.05.2026;single
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;24;;33.99;0;1.4163;lion's mane;amazon;https://www.amazon.com/dp/B0BF21NVP5;25.05.2026;single
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;24;;32.29;5;1.3454;lion's mane;amazon;https://www.amazon.com/dp/B0BF21NVP5;25.05.2026;subscription
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;48;;67.98;0;1.4163;lion's mane;amazon;https://www.amazon.com/dp/B0BV7F7D8X;25.05.2026;single
4;19;Four Sigmatic;Focus High Caf Coffee Pods (24ct);pods;;48;;64.58;5;1.3454;lion's mane;amazon;https://www.amazon.com/dp/B0BV7F7D8X;25.05.2026;subscription
