brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type;status
Om Mushrooms;Sleep Mushroom Capsules;capsule;8;30;240;29.99;0;1;reishi;own_site;https://ommushrooms.com/products/sleep;23.05.2026;single;reject
Om Mushrooms;Sleep Mushroom Capsules;capsule;8;30;240;25.49;15;0.85;reishi;own_site;https://ommushrooms.com/products/sleep;23.05.2026;subscription;reject
Om Mushrooms;Turkey Tail Mushroom Capsules;capsule;8;30;240;29.99;0;1;turkey tail;own_site;https://ommushrooms.com/products/om-turkey-tail;23.05.2026;single;reject
Om Mushrooms;Turkey Tail Mushroom Capsules;capsule;8;30;240;25.49;15;0.85;turkey tail;own_site;https://ommushrooms.com/products/om-turkey-tail;23.05.2026;subscription;reject
Bunkell;Bunkell Cortisol Calm Drink Mix, Made with Magnesium Glycinate, L-Theanine, Ashwagandha & Vitamin D3, Cortisol Supplements for Relaxation, Focus & Calm Support, Raspberry Lemonade Flavor, 30 Ct;capsule;;50;127.6;16.88;0;0.3376;adaptogen;amazon;https://www.amazon.com/dp/B0FL281PKD;25.05.2026;single;reject
Bunkell;Bunkell Cortisol Calm Drink Mix, Made with Magnesium Glycinate, L-Theanine, Ashwagandha & Vitamin D3, Cortisol Supplements for Relaxation, Focus & Calm Support, Raspberry Lemonade Flavor, 30 Ct;capsule;;50;127.6;15.19;10;0.3038;adaptogen;amazon;https://www.amazon.com/dp/B0FL281PKD;25.05.2026;subscription;reject
Bunkell;Bunkell Ashwagandha Mushroom Powder, Adaptogenic 10 Mushrooms Complex W/Ashwagandha - Lion's Mane, Reishi, Chaga & Maitake - Adaptogens Powder for Energy, Cognitive & Immune Support, 80 Servings;instant;;80;180;19.88;11;0.2485;lion's mane;amazon;https://www.amazon.com/dp/B0F8VH2PMG;25.05.2026;single;-
Bunkell;Bunkell Ashwagandha Mushroom Powder, Adaptogenic 10 Mushrooms Complex W/Ashwagandha - Lion's Mane, Reishi, Chaga & Maitake - Adaptogens Powder for Energy, Cognitive & Immune Support, 80 Servings;instant;;80;180;19.88;11;0.2485;lion's mane;amazon;https://www.amazon.com/dp/B0F8VH2PMG;25.05.2026;subscription;-
Bunkell;Bunkell Mushroom Chicory, Adaptogenic 6 Mushrooms with Lion's Mane, Reishi, Cordyceps, Shiitake, King Trumpet & Turkey Tail, Mushroom Chicory Powder for Energy, Digestion & Immune Support, 30 Servings;instant;;30;180;19.88;0;0.6627;lion's mane;amazon;https://www.amazon.com/dp/B0FJRXNRDL;25.05.2026;single;-
Bunkell;Bunkell Mushroom Chicory, Adaptogenic 6 Mushrooms with Lion's Mane, Reishi, Cordyceps, Shiitake, King Trumpet & Turkey Tail, Mushroom Chicory Powder for Energy, Digestion & Immune Support, 30 Servings;instant;;30;180;17.89;10;0.5963;lion's mane;amazon;https://www.amazon.com/dp/B0FJRXNRDL;25.05.2026;subscription;-
Bunkell;Bunkell Vanilla Bean Protein Powder with 100% Grass-Fed Whey & Plant Proteins, 22g of Protein, Vanilla Bean & Cinnamon, No Added Sugar, Non-GMO, Gluten Free, 1.1LB;instant;;52;496.1;19.88;0;0.3823;;amazon;https://www.amazon.com/dp/B0G4W5GFG4;25.05.2026;single;-
Bunkell;Bunkell Vanilla Bean Protein Powder with 100% Grass-Fed Whey & Plant Proteins, 22g of Protein, Vanilla Bean & Cinnamon, No Added Sugar, Non-GMO, Gluten Free, 1.1LB;instant;;52;496.1;19.88;0;0.3823;;amazon;https://www.amazon.com/dp/B0G4W5GFG4;25.05.2026;subscription;-
Four Sigmatic;Four Sigmatic Organic Plant-Based Protein Powder | Clean Vegan Protein Elevated with LionР Р†Р вЂљРІвЂћСћs Mane, Chaga, Cordyceps and More for Brain Function and Immune Support | Peanut Butter, 21.16 oz;instant;;;599.9;26.75;9;;chaga;amazon;https://www.amazon.com/dp/B08GN8X844;24.05.2026;single;-
Four Sigmatic;Four Sigmatic Organic Plant-Based Protein Powder | Clean Vegan Protein Elevated with LionР Р†Р вЂљРІвЂћСћs Mane, Chaga, Cordyceps and More for Brain Function and Immune Support | Peanut Butter, 21.16 oz;instant;;;599.9;26.75;9;;chaga;amazon;https://www.amazon.com/dp/B08GN8X844;24.05.2026;subscription;-
La Republica;LRLA SUPERFOODS La Republica Lion's Mane Extract Mushroom Powder 120 Servings, No Mycelium or Fillers, USDA Organic Lion's Mane Extract, Fair Trade & Vegan, USA Made;instant;;120;60.1;23.99;0;0.1999;lion's mane;amazon;https://www.amazon.com/dp/B07YXFTZGW;25.05.2026;single;-
La Republica;LRLA SUPERFOODS La Republica Lion's Mane Extract Mushroom Powder 120 Servings, No Mycelium or Fillers, USDA Organic Lion's Mane Extract, Fair Trade & Vegan, USA Made;instant;;120;60.1;21.59;10;0.1799;lion's mane;amazon;https://www.amazon.com/dp/B07YXFTZGW;25.05.2026;subscription;-
